#EOCS for scheme 4, relative to model 1
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      0.0016735                	
0.05                     0.00010042               4.05875
0.025                    6.19676e-06              4.01839
0.0125                   3.89122e-07              3.99322
0.00625                  3.72424e-08              3.38521
0.003125                 4.4682e-09               3.05918
0.0015625                4.53001e-10              3.30211
0.00078125               8.35636e-11              2.43857
0.000390625              1.35224e-11              2.62752
0.000195313              6.77e-11                 -2.3238
9.76563e-05              5.54452e-11              0.288091
4.88281e-05              2.70635e-10              -2.28721
2.44141e-05              2.21824e-10              0.28693
