#EOCS for scheme 1, relative to model 2
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      0.639798                 	
0.05                     0.495569                 0.368531
0.025                    0.358309                 0.467881
0.0125                   0.239848                 0.579083
0.00625                  0.148207                 0.694511
0.003125                 0.0851809                0.79901
0.0015625                0.0462974                0.8796
0.00078125               0.0242502                0.93293
0.000390625              0.0124282                0.964386
0.000195313              0.00629377               0.981617
9.76563e-05              0.00316733               0.990657
4.88281e-05              0.00158885               0.995288
2.44141e-05              0.000795727              0.997634
