#EOCS for scheme 4, relative to model 2
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      0.00280051               	
0.05                     0.000764064              1.87393
0.025                    0.000154804              2.30325
0.0125                   2.26948e-05              2.77001
0.00625                  3.21506e-06              2.81945
0.003125                 4.45826e-07              2.85029
0.0015625                1.01866e-07              2.1298
0.00078125               1.11012e-08              3.19789
0.000390625              1.31348e-09              3.07925
0.000195313              5.51304e-10              1.25248
9.76563e-05              3.51625e-10              0.648811
4.88281e-05              1.50797e-09              -2.1005
2.44141e-05              1.32134e-09              0.190605
