#Error for scheme 1, relative to model 1
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      0.0816529                	
0.05                     0.0407266                1.00353
0.025                    0.0203462                1.00121
0.0125                   0.0101685                1.00066
0.00625                  0.005083                 1.00035
0.003125                 0.0025412                1.00017
0.0015625                0.00127053               1.00009
0.00078125               0.000635244              1.00004
0.000390625              0.000317617              1.00002
0.000195313              0.000158808              1.00001
9.76563e-05              7.94035e-05              1.00001
4.88281e-05              3.97017e-05              1
