#Error for different scheme 2
#1-tau                   2-Maximum Error          3-EOCS                   
0.5                      2.78955                  	
0.25                     0.475581                 2.55227
0.125                    0.100628                 2.24066
0.0625                   0.0264328                1.92863
0.03125                  0.00893765               1.56436
0.015625                 0.0044516                1.00557
0.0078125                0.00222161               1.00272
0.00390625               0.00110976               1.00136
0.00195312               0.000554621              1.00067
0.000976562              0.000277246              1.00034
0.000488281              0.000138607              1.00017
0.000244141              6.92994e-05              1.00008
