#Error for different scheme 3
#1-tau                   2-Maximum Error          3-EOCS                   
0.5                      0.140532                 	
0.25                     0.0117554                3.57951
0.125                    0.000760706              3.94984
0.0625                   4.78422e-05              3.99098
0.03125                  2.99685e-06              3.99677
0.015625                 1.8736e-07               3.99956
0.0078125                2.15813e-08              3.11796
0.00390625               2.66877e-09              3.01553
0.00195312               3.31849e-10              3.00758
0.000976562              4.13678e-11              3.00395
0.000488281              5.1622e-12               3.00245
0.000244141              6.45595e-13              2.99929
