#Error for different scheme4
1-tau                    2-Maximum Error          3-EOCS                   
0.1                      0.351104                 	
0.05                     0.0870685                2.01167
0.025                    0.0226599                1.94201
0.0125                   0.00586281               1.95048
0.00625                  0.00271317               1.11161
0.003125                 0.00135306               1.00375
0.0015625                0.000675653              1.00187
0.00078125               0.000337607              1.00094
0.000390625              0.000168748              1.00047
0.000195313              8.43605e-05              1.00023
9.76563e-05              4.21768e-05              1.00012
4.88281e-05              2.10875e-05              1.00006
