#Error for scheme 2, relative to model 2
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      inf                      	
0.05                     inf                      -nan
0.025                    inf                      -nan
0.0125                   inf                      -nan
0.00625                  inf                      -nan
0.003125                 0.144734                 inf
0.0015625                0.0610286                1.24585
0.00078125               0.0284785                1.09961
0.000390625              0.0137954                1.04569
0.000195313              0.00679355               1.02195
9.76563e-05              0.00337152               1.01077
4.88281e-05              0.00167954               1.00533
