#Error for different scheme 2
#1-tau                   2-Maximum Error          3-EOCS                   
0.5                      inf                      	
0.25                     inf                      -nan
0.125                    inf                      -nan
0.0625                   inf                      -nan
0.03125                  inf                      -nan
0.015625                 inf                      -nan
0.0078125                inf                      -nan
0.00390625               0.202196                 inf
0.00195312               0.0792351                1.35154
0.000976562              0.0361905                1.13053
0.000488281              0.0173786                1.0583
0.000244141              0.00852399               1.02771
