#Error for scheme 3, relative to model 2
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      0.00208592               	
0.05                     6.50329e-05              5.00337
0.025                    4.32878e-06              3.90914
0.0125                   1.31976e-06              1.71369
0.00625                  2.13607e-07              2.62724
0.003125                 2.97629e-08              2.84337
0.0015625                3.9283e-09               2.92154
0.00078125               4.06131e-10              3.27389
0.000390625              1.98413e-11              4.35537
0.000195313              3.85861e-10              -4.28151
9.76563e-05              3.31035e-10              0.221099
4.88281e-05              1.50893e-09              -2.18847
