#Error for different scheme 4
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      2.60344e+219             	
0.05                     1.62818e+100             395.987
0.025                    3.41962e+115             -50.8995
0.0125                   2.84656e+169             -179.12
0.00625                  2.82551e+79              298.984
0.003125                 0.314464                 265.6
0.0015625                0.10585                  1.57087
0.00078125               0.0467631                1.17858
0.000390625              0.0221713                1.07668
0.000195313              0.0108132                1.03589
9.76563e-05              0.00534179               1.0174
4.88281e-05              0.00265508               1.00857
