#Error for different scheme 4
#1-tau                   2-Maximum Error          3-EOCS                   
0.5                      5.6882e+96               	
0.25                     6.63781e+126             -99.8806
0.125                    1.24435e+119             25.6688
0.0625                   1.95942e+226             -356.101
0.03125                  2.57742e+101             414.846
0.015625                 1.66383e+236             -447.829
0.0078125                9.46491e+128             356.26
0.00390625               0.752284                 428.86
0.00195312               0.142481                 2.40051
0.000976562              0.0601447                1.24426
0.000488281              0.0280723                1.09929
0.000244141              0.0135995                1.04559
