#Error for different scheme 3
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      1.66068e-05              	
0.05                     1.99429e-06              3.05783
0.025                    2.44345e-07              3.02889
0.0125                   3.02391e-08              3.01444
0.00625                  3.76102e-09              3.00722
0.003125                 4.68951e-10              3.00362
0.0015625                5.85423e-11              3.00189
0.00078125               7.32153e-12              2.99926
0.000390625              9.27758e-13              2.98033
0.000195313              1.06803e-13              3.11879
9.76563e-05              4.40759e-14              1.2769
4.88281e-05              1.38778e-13              -1.65472
