#Error for different scheme 3
#1-tau                   2-Maximum Error          3-EOCS                   
0.5                      0.00286208               	
0.25                     0.000292685              3.28964
0.125                    3.30923e-05              3.14478
0.0625                   3.93432e-06              3.07231
0.03125                  4.79631e-07              3.03612
0.015625                 5.92085e-08              3.01805
0.0078125                7.35494e-09              3.00902
0.00390625               9.16499e-10              3.00451
0.00195312               1.14383e-10              3.00226
0.000976562              1.42857e-11              3.00123
0.000488281              1.78552e-12              3.00016
0.000244141              2.21767e-13              3.00922
