#Error for different scheme 4
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      0.0302248                	
0.05                     0.014801                 1.03004
0.025                    0.00732594               1.01461
0.0125                   0.00364472               1.00721
0.00625                  0.00181784               1.00358
0.003125                 0.000907799              1.00178
0.0015625                0.000453619              1.00089
0.00078125               0.00022674               1.00044
0.000390625              0.000113352              1.00022
0.000195313              5.66718e-05              1.00011
9.76563e-05              2.83348e-05              1.00006
4.88281e-05              1.41671e-05              1.00003
